t (s),V (mV)
0,19.8345
1.041,19.8146
2.043,19.7929
3.041,19.7699
4.041,19.7429
5.041,19.7194
6.041,19.6944
7.041,19.6684
8.041,19.6427
9.041,19.6163
10.041,19.5889
11.041,19.5622
12.04,19.5342
13.041,19.5069
14.041,19.4799
15.041,19.452
16.041,19.4248
17.041,19.3973
18.04,19.3694
19.041,19.3421
20.041,19.3151
21.041,19.2874
22.041,19.2605
23.041,19.2325
24.04,19.2055
25.041,19.1789
26.041,19.1511
27.041,19.1232
28.041,19.0962
29.041,19.0694
30.041,19.0431
31.041,19.0155
32.041,18.9888
33.04,18.9624
34.041,18.9366
35.04,18.9094
36.041,18.882
37.041,18.8568
38.041,18.829
39.041,18.8037
40.041,18.7771
41.041,18.75
42.041,18.724
43.041,18.697
44.041,18.6706
45.041,18.644
46.041,18.617
47.041,18.5913
48.041,18.5648
49.041,18.5384
50.041,18.5125
51.041,18.4862
52.041,18.4601
53.041,18.4338
54.041,18.4074
55.041,18.3818
56.041,18.3563
57.041,18.3297
58.041,18.3044
59.041,18.2773
60.041,18.2518
61.041,18.226
62.041,18.1997
63.043,18.1723
64.041,18.148
65.041,18.1227
66.04,18.0963
67.041,18.0709
68.041,18.0459
69.041,18.0205
70.041,17.9958
71.041,17.9699
72.041,17.9451
73.041,17.9196
74.041,17.8936
75.041,17.87
76.041,17.8444
77.041,17.8194
78.041,17.7948
79.04,17.7704
80.041,17.7455
81.041,17.7196
82.041,17.6948
83.041,17.6698
84.04,17.645
85.041,17.6207
86.041,17.5956
87.04,17.5707
88.041,17.5458
89.041,17.5215
90.041,17.4974
91.041,17.4729
92.041,17.4487
93.041,17.4244
94.041,17.4001
95.041,17.3761
96.041,17.3519
97.041,17.328
98.041,17.304
99.041,17.2805
100.041,17.2575
101.04,17.2343
102.041,17.21
103.041,17.1862
104.041,17.1634
105.041,17.1392
106.041,17.1158
107.041,17.0922
108.041,17.069
109.041,17.0452
110.041,17.0225
111.041,17.0004
112.041,16.9762
113.041,16.9524
114.041,16.9277
115.041,16.9056
116.041,16.8818
117.04,16.8578
118.041,16.835
119.04,16.8113
120.041,16.7883
121.041,16.765
122.041,16.7417
123.041,16.719
124.043,16.6969
125.041,16.6725
126.041,16.6502
127.04,16.6266
128.041,16.6042
129.041,16.5812
130.041,16.5578
131.041,16.5359
132.041,16.5132
133.04,16.4908
134.04,16.4675
135.041,16.4454
136.041,16.4233
137.041,16.4008
138.041,16.3783
139.041,16.3559
140.041,16.3335
141.041,16.3118
142.04,16.2904
143.041,16.2674
144.041,16.2454
145.041,16.2239
146.041,16.2018
147.041,16.1798
148.041,16.1585
149.041,16.1369
150.041,16.1153
151.041,16.0935
152.041,16.0716
153.04,16.0498
154.041,16.0289
155.041,16.0074
156.041,15.9859
157.041,15.9647
158.041,15.9428
159.041,15.9222
160.041,15.9
161.041,15.88
162.041,15.8585
163.041,15.8378
164.041,15.8168
165.041,15.7955
166.04,15.7756
167.041,15.7534
168.04,15.7328
169.041,15.712
170.041,15.6909
171.041,15.6701
172.041,15.6489
173.041,15.6283
174.04,15.6079
175.041,15.5867
176.041,15.5654
177.041,15.5456
178.04,15.5239
179.041,15.5035
180.041,15.4829
181.041,15.4621
182.041,15.4418
183.041,15.4205
184.041,15.4003
185.041,15.3799
186.04,15.3586
187.041,15.338
188.041,15.3177
189.041,15.2975
190.041,15.2765
191.041,15.2565
192.04,15.2366
193.041,15.2158
194.041,15.196
195.041,15.1762
196.041,15.1556
197.041,15.1353
198.041,15.1144
199.041,15.0943
200.04,15.0747
201.041,15.0544
202.04,15.0344
203.041,15.0141
204.04,14.9954
205.041,14.976
206.041,14.9561
207.041,14.9365
208.04,14.9172
209.041,14.8978
210.04,14.8785
211.041,14.8585
212.041,14.8391
213.041,14.8195
214.041,14.7997
215.04,14.7818
216.041,14.7622
217.041,14.7434
218.041,14.7232
219.041,14.704
220.04,14.6853
221.041,14.6657
222.041,14.647
223.041,14.627
224.04,14.6079
225.041,14.5883
226.04,14.5695
227.041,14.55
228.041,14.5317
229.041,14.5112
230.041,14.4931
231.041,14.4733
232.041,14.4548
233.04,14.4347
234.041,14.4162
235.041,14.398
236.041,14.3789
237.041,14.3604
238.04,14.3412
239.041,14.323
240.041,14.304
241.04,14.2849
242.041,14.2673
243.04,14.2472
244.041,14.2301
245.043,14.2103
246.041,14.1922
247.04,14.1738
248.041,14.156
249.04,14.1364
250.041,14.1183
251.041,14.0993
252.041,14.0815
253.04,14.0621
254.041,14.0444
255.04,14.0262
256.041,14.0078
257.041,13.9897
258.041,13.9715
259.041,13.9537
260.041,13.9351
261.041,13.9173
262.041,13.8985
263.041,13.8804
264.041,13.8623
265.041,13.8438
266.04,13.8246
